Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:50mawjudhEofTcUIpRmGXr,"Deixa Acontecer","100% Grupo Revelação","Grupo Revelação",2009-07-01,246226,64,false,,2024-04-16T18:12:07Z,"pagode,samba","Deckdisc",0.649,0.785,11,-6.588,0,0.0347,0.607,0,0.797,0.965,92.982,4
spotify:track:48lxT5qJF0yYyf2z4wB4xW,"Pedro","Pedro","Jaxomy;Agatino Romero;Raffaella Carrà",2024-03-29,144562,74,false,,2024-04-14T10:49:49Z,"italo dance","Columbia/B1 Recordings/Ultra Records",0.788,0.936,9,-6.294,1,0.301,0.0229,0.0000013,0.311,0.844,151.019,4
spotify:track:72sLsJ5XELHGuV1J6ntJoZ,"inhuman","inhuman","ISOxo",2022-09-30,198095,47,false,,2024-04-14T10:27:22Z,"bass house,edm trap,edm","NIGHTMODE",0.647,0.892,10,-3.019,0,0.0331,0.0178,0.00000583,0.141,0.096,126.013,4
spotify:track:5AYeGLu0KlyZUe6bS2tgdh,"Ultraviolet","The Fear of Fear","Spiritbox",2023-11-03,248888,50,false,,2024-04-10T19:54:59Z,"metalcore,djent,metal","Rise Records",0.425,0.807,4,-5.935,0,0.088,0.00795,0.000178,0.224,0.279,108.083,4
spotify:track:2Z1eWq9VOXkCzUmcU6uoNe,"Ascensionism","Take Me Back To Eden","Sleep Token",2023-05-19,428713,67,false,,2024-04-10T19:42:50Z,"progressive metal,metalcore","Spinefarm",0.549,0.544,0,-7.929,0,0.0379,0.0736,0.00121,0.145,0.0834,117.029,3
spotify:track:5vJIVr0ZYo8DFbfSOY4Goa,"Vore","Take Me Back To Eden","Sleep Token",2023-05-19,339606,65,false,,2024-04-10T19:33:50Z,"progressive metal,metalcore","Spinefarm",0.342,0.938,11,-5.194,0,0.0808,0.000313,0.0181,0.348,0.154,151.965,4
spotify:track:141Wmp3tD5OEqY3PrfryWj,"RIOT - Curbi Remix","RIOT (Curbi Remix)","Öwnboss;Selva;Curbi",2024-04-09,165710,24,false,,2024-04-09T20:32:51Z,"brazilian bass,electronic,future house,bass house","Monstercat",0.779,0.939,10,-6.39,0,0.0457,0.00212,0.865,0.318,0.326,132.034,4
spotify:track:3VglBB0nx48IcOr68SkjbZ,"Collar of Truth","Till' Death Was Never Enough","VIOLENT VIRA",2023-08-04,187411,62,false,,2024-04-09T07:17:07Z,"","Distrokid",0.261,0.573,11,-7.403,0,0.0396,0.0285,0.00121,0.352,0.12,84.721,4
spotify:track:7DNy6T7cK9Ehuex0hlyg1C,"inside my head\*/","inside my head\*/","Scro",2023-11-17,233076,16,false,,2024-04-09T06:57:30Z,"hyperpop","scrobaby",0.376,0.956,5,-3.263,1,0.342,0.000532,0.00122,0.11,0.222,117.178,4
spotify:track:0inWEfsFk8ybCjvYcvE2kE,"NEED ME","NEED ME","WINK",2024-04-05,198857,28,false,,2024-04-09T06:35:43Z,"bass music,edm trap,dubstep","bitbird",0.727,0.825,11,-3.08,0,0.0548,0.306,0.00000143,0.101,0.632,139.887,4
spotify:track:6EO56btPzDF3LUrfwlXi2j,"Undefeatable","Sonic Frontiers Original Soundtrack Stillness & Motion","SEGA SOUND TEAM;Tomoya Ohtani;Kellin Quinn",2022-12-07,264880,62,false,,2024-04-06T02:27:39Z,"japanese vgm,soundtrack,pop punk","WAVEMASTER ENTERTAINMENT",0.366,0.974,0,-4.849,0,0.178,0.0000163,0.0476,0.344,0.126,200.027,4
spotify:track:3GiJq4AQK7324mfIQbpiTf,"Custer",".5: The Gray Chapter (Special Edition)","Slipknot",2014-10-15,254466,74,true,,2024-04-06T01:54:25Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.407,0.98,7,-1.58,1,0.107,0.00174,0.000112,0.119,0.537,131.066,4
spotify:track:0j2T0R9dR9qdJYsB7ciXhf,"Stronger","Graduation","Kanye West",2007-09-11,311866,82,true,,2024-04-04T13:31:21Z,"rap","Roc-A-Fella",0.617,0.716,1,-7.858,1,0.136,0.0056,0,0.408,0.496,104.014,4
spotify:track:1Ll2L0m2QznnoJI9xRN5MP,"HYPNOTIC DATA","HYPNOTIC DATA 2.0","Odetari",2024-02-15,128738,68,true,,2024-04-04T13:24:07Z,"hyperpop,nightcore","APG Inc. - Odetari",0.774,0.615,11,-6.349,0,0.0603,0.0198,0.738,0.114,0.246,135.91,4
spotify:track:4BbXg5wQqVNPbVEGpjsVnv,"All I Wanted","Brand New Eyes","Paramore",2009-09-25,225786,70,false,,2024-04-04T13:13:02Z,"pop punk,emo","Fueled By Ramen/Atlantic",0.494,0.723,6,-4.559,0,0.0441,0.0192,0.0322,0.134,0.152,144.036,4
spotify:track:70L6nHORQsblY813yNqUR3,"Cherry Waves","Saturday Night Wrist","Deftones",2006-10-25,317706,78,false,,2024-04-04T13:01:12Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Maverick",0.47,0.859,2,-3.663,1,0.0537,0.000362,0.00691,0.142,0.17,124.01,4
spotify:track:0kY1cAlZZRbW8HzRPQxg0h,"constant repeat","constant repeat","yaego",2023-03-12,164929,34,false,,2024-04-04T12:19:06Z,"breakcore","Hamsquad Inc/high off seahorse records",0.273,0.971,3,-3.5,0,0.278,0.00369,0.548,0.285,0.187,139.828,4
spotify:track:1V4pdG9EyFJtz4l8XwC288,"EUROPA","87.6 FM","yaego",2023-10-08,229401,38,false,,2024-04-04T12:14:12Z,"breakcore","HAMSQUAD RECORDS | high off seahorse records",0.442,0.822,5,-10.447,0,0.252,0.000492,0.861,0.186,0.297,75.194,4
spotify:track:507ncHPOi3Ei3tu1ZTFeyM,"THE SENSATION","THE SENSATION","yaego",2024-03-27,153031,22,false,,2024-04-04T09:30:23Z,"breakcore","Hamsquad Inc/high off seahorse records",0.671,0.614,1,-7.927,1,0.0439,0.000306,0.781,0.417,0.236,113.191,4
spotify:track:0maCwhZTO3PybhSiQcsjAf,"G.O.A.T.","New Levels New Devils","Polyphia",2018-10-12,215998,48,false,,2024-04-02T00:28:17Z,"math rock,djent,progressive metal,progressive rock","Rude Records Equal Vision",0.66,0.76,11,-5.488,0,0.0332,0.000601,0.312,0.0949,0.359,107.028,4
spotify:track:4zeDHniAiJBkAhcYZIyaB6,"Coma","Comatose","Ace Aura",2020-02-21,195200,0,false,,2024-04-02T00:25:44Z,"dubstep,riddim,bass music,melodic bass,deathstep","Circus Records",0.658,0.873,1,-1.657,1,0.0366,0.19,0.622,0.705,0.0845,112.556,3
spotify:track:6kzvfZqD3c2tEuH4efnth2,"Self-Sabotage","Comatose","Ace Aura;Millennial Trash",2020-02-21,195310,0,false,,2024-04-02T00:24:21Z,"dubstep,riddim,bass music,melodic bass,deathstep","Circus Records",0.597,0.871,10,-2.43,0,0.0913,0.285,0.000698,0.357,0.327,144.927,4
